 sig=    1.000000000000000     
 dt=   1.0000000000000001E-009
 steps=      2000000
 x0=   0.1400000000000000         1.396200000000000      
    9.593700000000000     
 u=    1000000.000000000     
 v_perp=    4300000.000000000     
 
istep         r       z        zeta
   13050    1.1239132945E+00    2.1736772715E-01    1.4384487025E+01
   13100    1.1360420467E+00    2.3861271121E-01    1.4310225956E+01
   13150    1.1487007269E+00    2.6058204614E-01    1.4236492412E+01
   13200    1.1618086321E+00    2.8317791821E-01    1.4163326321E+01
   13250    1.1752792018E+00    3.0628642709E-01    1.4090759005E+01
   13300    1.1890209703E+00    3.2977886364E-01    1.4018813274E+01
   13350    1.2029383811E+00    3.5351344276E-01    1.3947503695E+01
   13400    1.2169324639E+00    3.7733745527E-01    1.3876837027E+01
   13450    1.2309013976E+00    4.0108977235E-01    1.3806812776E+01
   13500    1.2447409993E+00    4.2460360428E-01    1.3737423824E+01
   13550    1.2583451812E+00    4.4770938705E-01    1.3668657099E+01
   13600    1.2716064192E+00    4.7023765686E-01    1.3600494260E+01
   13650    1.2844162781E+00    4.9202177823E-01    1.3532912367E+01
   13700    1.2966660375E+00    5.1290041696E-01    1.3465884544E+01
   13750    1.3082474658E+00    5.3271968971E-01    1.3399380609E+01
   13800    1.3190537827E+00    5.5133496623E-01    1.3333367653E+01
   13850    1.3289808389E+00    5.6861233876E-01    1.3267810584E+01
   13900    1.3379285226E+00    5.8442979858E-01    1.3202672585E+01
   13950    1.3458023670E+00    5.9867816954E-01    1.3137915525E+01
   14000    1.3525153115E+00    6.1126184502E-01    1.3073500298E+01
   14050    1.3579895363E+00    6.2209936221E-01    1.3009387104E+01
   14100    1.3621582772E+00    6.3112383053E-01    1.2945535705E+01
   14150    1.3649675155E+00    6.3828321372E-01    1.2881905628E+01
   14200    1.3663774407E+00    6.4354044996E-01    1.2818456360E+01
   14250    1.3663635911E+00    6.4687338455E-01    1.2755147511E+01
   14300    1.3649175906E+00    6.4827448692E-01    1.2691938966E+01
   14350    1.3620474243E+00    6.4775033037E-01    1.2628791012E+01
   14400    1.3577772189E+00    6.4532082798E-01    1.2565664462E+01
   14450    1.3521465252E+00    6.4101824038E-01    1.2502520763E+01
   14500    1.3452091331E+00    6.3488599576E-01    1.2439322105E+01
   14550    1.3370314741E+00    6.2697738558E-01    1.2376031533E+01
   14600    1.3276906969E+00    6.1735421722E-01    1.2312613064E+01
   14650    1.3172725167E+00    6.0608551443E-01    1.2249031822E+01
   14700    1.3058689547E+00    5.9324635662E-01    1.2185254185E+01
   14750    1.2935760883E+00    5.7891693909E-01    1.2121247968E+01
   14800    1.2804919301E+00    5.6318191652E-01    1.2056982639E+01
   14850    1.2667145430E+00    5.4613006446E-01    1.1992429582E+01
   14900    1.2523404762E+00    5.2785425778E-01    1.1927562419E+01
   14950    1.2374635815E+00    5.0845172543E-01    1.1862357372E+01
   15000    1.2221742330E+00    4.8802450087E-01    1.1796793700E+01
   15050    1.2065589433E+00    4.6667995301E-01    1.1730854160E+01
   15100    1.1907003331E+00    4.4453125859E-01    1.1664525530E+01
   15150    1.1746773893E+00    4.2169766830E-01    1.1597799148E+01
   15200    1.1585659249E+00    3.9830442931E-01    1.1530671474E+01
   15250    1.1424391454E+00    3.7448225517E-01    1.1463144659E+01
   15300    1.1263682251E+00    3.5036627747E-01    1.1395227109E+01
   15350    1.1104227976E+00    3.2609446677E-01    1.1326934015E+01
   15400    1.0946712773E+00    3.0180556538E-01    1.1258287831E+01
   15450    1.0791809420E+00    2.7763662786E-01    1.1189318641E+01
   15500    1.0640177286E+00    2.5372031049E-01    1.1120064404E+01
   15550    1.0492457248E+00    2.3018208798E-01    1.1050570997E+01
   15600    1.0349263788E+00    2.0713759755E-01    1.0980892061E+01
   15650    1.0211174891E+00    1.8469031277E-01    1.0911088625E+01
   15700    1.0078720710E+00    1.6292972244E-01    1.0841228540E+01
   15750    9.9523721675E-01    1.4193013303E-01    1.0771385757E+01
   15800    9.8325305912E-01    1.2175013432E-01    1.0701639486E+01
   15850    9.7195193269E-01    1.0243268812E-01    1.0632073264E+01
   15900    9.6135779489E-01    8.4005742381E-02    1.0562773961E+01
   15950    9.5148594542E-01    6.6483252180E-02    1.0493830752E+01
   16000    9.4234306385E-01    4.9866503196E-02    1.0425334099E+01
   16050    9.3392757270E-01    3.4145663710E-02    1.0357374800E+01
   16100    9.2623032123E-01    1.9301517373E-02    1.0290043140E+01
   16150    9.1923556633E-01    5.3073353208E-03    1.0223428152E+01
   16200    9.1292220100E-01   -7.8691689027E-03    1.0157616962E+01
   16250    9.0726514881E-01   -2.0263885922E-02    1.0092694162E+01
   16300    9.0223681274E-01   -3.1914469162E-02    1.0028741152E+01
   16350    8.9780844819E-01   -4.2858727140E-02    9.9658354487E+00
   16400    8.9395133070E-01   -5.3133358654E-02    9.9040499456E+00
   16450    8.9063761478E-01   -6.2773103480E-02    9.8434521633E+00
   16500    8.8784082694E-01   -7.1810327512E-02    9.7841035395E+00
   16550    8.8553599388E-01   -8.0275002774E-02    9.7260588023E+00
   16600    8.8369946248E-01   -8.8194993470E-02    9.6693654731E+00
   16650    8.8230850820E-01   -9.5596529801E-02    9.6140635383E+00
   16700    8.8134084616E-01   -1.0250474638E-01    9.5601853129E+00
   16750    8.8077415270E-01   -1.0894417935E-01    9.5077555073E+00
   16800    8.8058568095E-01   -1.1493914824E-01    9.4567914871E+00
   16850    8.8075202011E-01   -1.2051398561E-01    9.4073037016E+00
   16900    8.8124901343E-01   -1.2569311142E-01    9.3592962454E+00
   16950    8.8205182169E-01   -1.3050097349E-01    9.3127675125E+00
   17000    8.8313510039E-01   -1.3496189006E-01    9.2677109033E+00
   17050    8.8447325058E-01   -1.3909983426E-01    9.2241155491E+00
   17100    8.8604070363E-01   -1.4293819763E-01    9.1819670243E+00
   17150    8.8781220657E-01   -1.4649956196E-01    9.1412480234E+00
   17200    8.8976308322E-01   -1.4980550019E-01    9.1019389844E+00
   17250    8.9186945598E-01   -1.5287641799E-01    9.0640186491E+00
   17300    8.9410842129E-01   -1.5573144068E-01    9.0274645525E+00
   17350    8.9645817787E-01   -1.5838834450E-01    8.9922534430E+00
   17400    8.9889811120E-01   -1.6086352810E-01    8.9583616337E+00
   17450    9.0140883995E-01   -1.6317201794E-01    8.9257652929E+00
   17500    9.0397223106E-01   -1.6532750095E-01    8.8944406796E+00
   17550    9.0657139011E-01   -1.6734237766E-01    8.8643643318E+00
   17600    9.0919063310E-01   -1.6922782992E-01    8.8355132163E+00
   17650    9.1181544495E-01   -1.7099389787E-01    8.8078648461E+00
   17700    9.1443242889E-01   -1.7264956216E-01    8.7813973711E+00
   17750    9.1702925037E-01   -1.7420282793E-01    8.7560896489E+00
   17800    9.1959457780E-01   -1.7566080820E-01    8.7319212981E+00
   17850    9.2211802241E-01   -1.7702980476E-01    8.7088727374E+00
   17900    9.2459007842E-01   -1.7831538530E-01    8.6869252153E+00
   17950    9.2700206446E-01   -1.7952245605E-01    8.6660608292E+00
   18000    9.2934606711E-01   -1.8065532941E-01    8.6462625385E+00
   18050    9.3161488683E-01   -1.8171778641E-01    8.6275141708E+00
   18100    9.3380198648E-01   -1.8271313398E-01    8.6098004240E+00
   18150    9.3590144271E-01   -1.8364425711E-01    8.5931068638E+00
   18200    9.3790790018E-01   -1.8451366625E-01    8.5774199184E+00
   18250    9.3981652854E-01   -1.8532354004E-01    8.5627268706E+00
   18300    9.4162298233E-01   -1.8607576384E-01    8.5490158474E+00
   18350    9.4332336349E-01   -1.8677196420E-01    8.5362758093E+00
   18400    9.4491418663E-01   -1.8741353979E-01    8.5244965372E+00
   18450    9.4639234687E-01   -1.8800168883E-01    8.5136686198E+00
   18500    9.4775509027E-01   -1.8853743362E-01    8.5037834403E+00
   18550    9.4899998674E-01   -1.8902164202E-01    8.4948331632E+00
   18600    9.5012490538E-01   -1.8945504659E-01    8.4868107216E+00
   18650    9.5112799222E-01   -1.8983826115E-01    8.4797098044E+00
   18700    9.5200765036E-01   -1.9017179530E-01    8.4735248456E+00
   18750    9.5276252238E-01   -1.9045606683E-01    8.4682510131E+00
   18800    9.5339147507E-01   -1.9069141232E-01    8.4638841991E+00
   18850    9.5389358641E-01   -1.9087809595E-01    8.4604210124E+00
   18900    9.5426813486E-01   -1.9101631668E-01    8.4578587708E+00
   18950    9.5451459077E-01   -1.9110621384E-01    8.4561954957E+00
   19000    9.5463261008E-01   -1.9114787125E-01    8.4554299076E+00
