 sig=   -1.000000000000000     
 dt=   4.0000000000000001E-010
 steps=       200000
 x0=   0.1949999928474426         1.396199941635132      
    8.123700141906738     
 u=    100000.0000000000     
 v_perp=    430000.0000000000     
 
istep         r       z        zeta
   54800    1.1474742631E+00    2.6618899202E-01    1.1005291015E+01
   55200    1.1524068529E+00    2.6536403140E-01    1.1030465071E+01
   55600    1.1573914695E+00    2.6443128727E-01    1.1055581184E+01
   56000    1.1624241370E+00    2.6338947192E-01    1.1080637869E+01
   56400    1.1675008250E+00    2.6223736692E-01    1.1105633764E+01
   56800    1.1726174550E+00    2.6097382002E-01    1.1130567626E+01
   57200    1.1777699076E+00    2.5959774241E-01    1.1155438337E+01
   57600    1.1829540274E+00    2.5810810610E-01    1.1180244899E+01
   58000    1.1881656288E+00    2.5650394169E-01    1.1204986432E+01
   58400    1.1934004997E+00    2.5478433645E-01    1.1229662177E+01
   58800    1.1986544059E+00    2.5294843281E-01    1.1254271488E+01
   59200    1.2039230940E+00    2.5099542736E-01    1.1278813836E+01
   59600    1.2092022943E+00    2.4892457014E-01    1.1303288802E+01
   60000    1.2144877227E+00    2.4673516453E-01    1.1327696077E+01
   60400    1.2197750828E+00    2.4442656755E-01    1.1352035458E+01
   60800    1.2250600673E+00    2.4199819060E-01    1.1376306844E+01
   61200    1.2303383590E+00    2.3944950072E-01    1.1400510236E+01
   61600    1.2356056317E+00    2.3678002228E-01    1.1424645731E+01
   62000    1.2408575512E+00    2.3398933908E-01    1.1448713520E+01
   62400    1.2460897750E+00    2.3107709696E-01    1.1472713883E+01
   62800    1.2512979536E+00    2.2804300673E-01    1.1496647190E+01
   63200    1.2564777305E+00    2.2488684762E-01    1.1520513893E+01
   63600    1.2616247422E+00    2.2160847103E-01    1.1544314526E+01
   64000    1.2667346192E+00    2.1820780474E-01    1.1568049700E+01
   64400    1.2718029860E+00    2.1468485738E-01    1.1591720101E+01
   64800    1.2768254618E+00    2.1103972340E-01    1.1615326486E+01
   65200    1.2817976614E+00    2.0727258819E-01    1.1638869680E+01
   65600    1.2867151956E+00    2.0338373367E-01    1.1662350574E+01
   66000    1.2915736730E+00    1.9937354407E-01    1.1685770123E+01
   66400    1.2963687011E+00    1.9524251191E-01    1.1709129337E+01
   66800    1.3010958881E+00    1.9099124430E-01    1.1732429287E+01
   67200    1.3057508450E+00    1.8662046929E-01    1.1755671095E+01
   67600    1.3103291885E+00    1.8213104234E-01    1.1778855935E+01
   68000    1.3148265436E+00    1.7752395280E-01    1.1801985026E+01
   68400    1.3192385473E+00    1.7280033034E-01    1.1825059636E+01
   68800    1.3235608530E+00    1.6796145128E-01    1.1848081073E+01
   69200    1.3277891345E+00    1.6300874462E-01    1.1871050685E+01
   69600    1.3319190916E+00    1.5794379782E-01    1.1893969856E+01
   70000    1.3359464557E+00    1.5276836215E-01    1.1916840008E+01
   70400    1.3398669963E+00    1.4748435754E-01    1.1939662592E+01
   70800    1.3436765280E+00    1.4209387686E-01    1.1962439092E+01
   71200    1.3473709174E+00    1.3659918953E-01    1.1985171016E+01
   71600    1.3509460917E+00    1.3100274441E-01    1.2007859904E+01
   72000    1.3543980469E+00    1.2530717184E-01    1.2030507314E+01
   72400    1.3577228565E+00    1.1951528493E-01    1.2053114831E+01
   72800    1.3609166810E+00    1.1363007987E-01    1.2075684059E+01
   73200    1.3639757769E+00    1.0765473538E-01    1.2098216623E+01
   73600    1.3668965067E+00    1.0159261122E-01    1.2120714163E+01
   74000    1.3696753486E+00    9.5447245771E-02    1.2143178338E+01
   74400    1.3723089062E+00    8.9222352684E-02    1.2165610822E+01
   74800    1.3747939187E+00    8.2921816634E-02    1.2188013303E+01
   75200    1.3771272698E+00    7.6549688179E-02    1.2210387482E+01
   75600    1.3793059980E+00    7.0110177753E-02    1.2232735073E+01
   76000    1.3813273054E+00    6.3607648846E-02    1.2255057799E+01
   76400    1.3831885667E+00    5.7046610374E-02    1.2277357396E+01
   76800    1.3848873376E+00    5.0431708302E-02    1.2299635605E+01
   77200    1.3864213633E+00    4.3767716543E-02    1.2321894178E+01
   77600    1.3877885854E+00    3.7059527182E-02    1.2344134874E+01
   78000    1.3889871492E+00    3.0312140064E-02    1.2366359456E+01
   78400    1.3900154103E+00    2.3530651791E-02    1.2388569693E+01
   78800    1.3908719397E+00    1.6720244181E-02    1.2410767360E+01
   79200    1.3915555295E+00    9.8861722373E-03    1.2432954234E+01
   79600    1.3920651962E+00    3.0337516907E-03    1.2455132094E+01
   80000    1.3924001851E+00   -3.8316538239E-03    1.2477302722E+01
   80400    1.3925599722E+00   -1.0704645892E-02    1.2499467899E+01
   80800    1.3925442664E+00   -1.7579804664E-02    1.2521629410E+01
   81200    1.3923530100E+00   -2.4451702356E-02    1.2543789035E+01
   81600    1.3919863792E+00   -3.1314916810E-02    1.2565948555E+01
   82000    1.3914447828E+00   -3.8164045052E-02    1.2588109747E+01
   82400    1.3907288611E+00   -4.4993716745E-02    1.2610274389E+01
   82800    1.3898394826E+00   -5.1798607477E-02    1.2632444250E+01
   83200    1.3887777414E+00   -5.8573451798E-02    1.2654621099E+01
   83600    1.3875449522E+00   -6.5313055921E-02    1.2676806697E+01
   84000    1.3861426461E+00   -7.2012310041E-02    1.2699002801E+01
   84400    1.3845725642E+00   -7.8666200190E-02    1.2721211159E+01
   84800    1.3828366518E+00   -8.5269819579E-02    1.2743433513E+01
   85200    1.3809370507E+00   -9.1818379371E-02    1.2765671596E+01
   85600    1.3788760920E+00   -9.8307218835E-02    1.2787927133E+01
   86000    1.3766562877E+00   -1.0473181485E-01    1.2810201836E+01
   86400    1.3742803220E+00   -1.1108779069E-01    1.2832497411E+01
   86800    1.3717510420E+00   -1.1737092410E-01    1.2854815547E+01
   87200    1.3690714486E+00   -1.2357715461E-01    1.2877157924E+01
   87600    1.3662446859E+00   -1.2970258996E-01    1.2899526206E+01
   88000    1.3632740320E+00   -1.3574351185E-01    1.2921922045E+01
   88400    1.3601628881E+00   -1.4169638068E-01    1.2944347077E+01
   88800    1.3569147686E+00   -1.4755783948E-01    1.2966802919E+01
   89200    1.3535332905E+00   -1.5332471698E-01    1.2989291173E+01
   89600    1.3500221631E+00   -1.5899402966E-01    1.3011813423E+01
   90000    1.3463851780E+00   -1.6456298294E-01    1.3034371232E+01
   90400    1.3426261994E+00   -1.7002897150E-01    1.3056966140E+01
   90800    1.3387491537E+00   -1.7538957855E-01    1.3079599669E+01
   91200    1.3347580213E+00   -1.8064257434E-01    1.3102273314E+01
   91600    1.3306568267E+00   -1.8578591371E-01    1.3124988544E+01
   92000    1.3264496313E+00   -1.9081773290E-01    1.3147746802E+01
   92400    1.3221405244E+00   -1.9573634548E-01    1.3170549502E+01
   92800    1.3177336172E+00   -2.0054023768E-01    1.3193398026E+01
   93200    1.3132330354E+00   -2.0522806298E-01    1.3216293724E+01
   93600    1.3086429137E+00   -2.0979863618E-01    1.3239237910E+01
   94000    1.3039673907E+00   -2.1425092697E-01    1.3262231860E+01
   94400    1.2992106037E+00   -2.1858405309E-01    1.3285276811E+01
   94800    1.2943766859E+00   -2.2279727316E-01    1.3308373957E+01
   95200    1.2894697620E+00   -2.2688997935E-01    1.3331524448E+01
   95600    1.2844939464E+00   -2.3086168977E-01    1.3354729386E+01
   96000    1.2794533412E+00   -2.3471204099E-01    1.3377989822E+01
   96400    1.2743520341E+00   -2.3844078039E-01    1.3401306757E+01
   96800    1.2691940981E+00   -2.4204775871E-01    1.3424681134E+01
   97200    1.2639835911E+00   -2.4553292274E-01    1.3448113837E+01
   97600    1.2587245553E+00   -2.4889630821E-01    1.3471605692E+01
   98000    1.2534210180E+00   -2.5213803297E-01    1.3495157458E+01
   98400    1.2480769923E+00   -2.5525829046E-01    1.3518769829E+01
   98800    1.2426964779E+00   -2.5825734356E-01    1.3542443427E+01
   99200    1.2372834621E+00   -2.6113551886E-01    1.3566178804E+01
   99600    1.2318419214E+00   -2.6389320127E-01    1.3589976431E+01
  100000    1.2263758228E+00   -2.6653082922E-01    1.3613836706E+01
  100400    1.2208891254E+00   -2.6904889018E-01    1.3637759938E+01
  100800    1.2153857815E+00   -2.7144791682E-01    1.3661746355E+01
  101200    1.2098697385E+00   -2.7372848354E-01    1.3685796094E+01
  101600    1.2043449397E+00   -2.7589120367E-01    1.3709909200E+01
  102000    1.1988153260E+00   -2.7793672708E-01    1.3734085622E+01
  102400    1.1932848360E+00   -2.7986573843E-01    1.3758325210E+01
  102800    1.1877574076E+00   -2.8167895590E-01    1.3782627713E+01
  103200    1.1822369773E+00   -2.8337713051E-01    1.3806992774E+01
  103600    1.1767274805E+00   -2.8496104600E-01    1.3831419929E+01
  104000    1.1712328508E+00   -2.8643151921E-01    1.3855908602E+01
  104400    1.1657570189E+00   -2.8778940101E-01    1.3880458104E+01
  104800    1.1603039104E+00   -2.8903557783E-01    1.3905067633E+01
  105200    1.1548774441E+00   -2.9017097353E-01    1.3929736265E+01
  105600    1.1494815281E+00   -2.9119655186E-01    1.3954462959E+01
  106000    1.1441200566E+00   -2.9211331932E-01    1.3979246555E+01
  106400    1.1387969051E+00   -2.9292232834E-01    1.4004085769E+01
  106800    1.1335159246E+00   -2.9362468087E-01    1.4028979196E+01
